# wavelength flux error
5.938490e+03 5.859301e-16 1.000000e-20
5.939742e+03 5.849946e-16 1.000000e-20
5.940995e+03 5.795435e-16 1.000000e-20
5.942247e+03 5.753944e-16 1.000000e-20
5.943499e+03 5.837754e-16 1.000000e-20
5.944751e+03 5.731970e-16 1.000000e-20
5.946004e+03 5.883632e-16 1.000000e-20
5.947256e+03 5.488743e-16 1.000000e-20
5.948508e+03 5.743681e-16 1.000000e-20
5.949761e+03 5.774637e-16 1.000000e-20
5.951013e+03 5.915888e-16 1.000000e-20
5.952265e+03 5.851950e-16 1.000000e-20
5.953518e+03 5.909990e-16 1.000000e-20
5.954770e+03 5.755361e-16 1.000000e-20
5.956022e+03 5.775485e-16 1.000000e-20
5.957274e+03 5.784267e-16 1.000000e-20
5.958527e+03 5.737800e-16 1.000000e-20
5.959779e+03 5.666830e-16 1.000000e-20
5.961031e+03 5.906457e-16 1.000000e-20
5.962284e+03 6.055822e-16 1.000000e-20
5.963536e+03 7.205383e-16 1.000000e-20
5.964788e+03 7.374711e-16 1.000000e-20
5.966041e+03 5.772665e-16 1.000000e-20
5.967293e+03 5.922224e-16 1.000000e-20
5.968545e+03 5.819129e-16 1.000000e-20
5.969797e+03 5.915476e-16 1.000000e-20
5.971050e+03 5.877788e-16 1.000000e-20
5.972302e+03 5.565831e-16 1.000000e-20
5.973554e+03 5.742117e-16 1.000000e-20
5.974807e+03 5.848416e-16 1.000000e-20
5.976059e+03 5.703306e-16 1.000000e-20
5.977312e+03 5.519341e-16 1.000000e-20
5.978563e+03 5.788281e-16 1.000000e-20
5.979816e+03 5.800899e-16 1.000000e-20
5.981068e+03 5.960026e-16 1.000000e-20
5.982320e+03 5.931311e-16 1.000000e-20
5.983573e+03 5.858549e-16 1.000000e-20
5.984825e+03 5.802684e-16 1.000000e-20
5.986077e+03 6.077778e-16 1.000000e-20
5.987330e+03 5.967278e-16 1.000000e-20
5.988582e+03 6.199937e-16 1.000000e-20
5.989834e+03 6.041533e-16 1.000000e-20
5.991086e+03 6.085233e-16 1.000000e-20
5.992339e+03 6.082694e-16 1.000000e-20
5.993591e+03 6.232766e-16 1.000000e-20
5.994844e+03 6.297786e-16 1.000000e-20
5.996096e+03 6.259787e-16 1.000000e-20
5.997348e+03 6.196357e-16 1.000000e-20
5.998601e+03 6.186540e-16 1.000000e-20
5.999853e+03 6.191558e-16 1.000000e-20
6.001105e+03 6.147766e-16 1.000000e-20
6.002357e+03 6.143403e-16 1.000000e-20
6.003609e+03 6.142647e-16 1.000000e-20
6.004862e+03 6.205736e-16 1.000000e-20
6.006114e+03 6.118686e-16 1.000000e-20
6.007367e+03 6.139216e-16 1.000000e-20
6.008619e+03 6.048277e-16 1.000000e-20
6.009871e+03 6.178840e-16 1.000000e-20
6.011124e+03 6.212431e-16 1.000000e-20
6.012376e+03 6.301203e-16 1.000000e-20
6.013628e+03 6.522960e-16 1.000000e-20
6.014880e+03 6.514288e-16 1.000000e-20
6.016133e+03 6.351303e-16 1.000000e-20
6.017385e+03 6.220019e-16 1.000000e-20
6.018637e+03 6.347322e-16 1.000000e-20
6.019890e+03 6.355843e-16 1.000000e-20
6.021142e+03 6.635704e-16 1.000000e-20
6.022394e+03 6.529568e-16 1.000000e-20
6.023646e+03 6.526193e-16 1.000000e-20
6.024899e+03 6.436141e-16 1.000000e-20
6.026151e+03 6.354373e-16 1.000000e-20
6.027403e+03 6.595740e-16 1.000000e-20
6.028656e+03 6.629683e-16 1.000000e-20
6.029908e+03 6.713712e-16 1.000000e-20
6.031160e+03 6.691767e-16 1.000000e-20
6.032413e+03 6.429670e-16 1.000000e-20
6.033665e+03 6.273723e-16 1.000000e-20
6.034917e+03 6.403020e-16 1.000000e-20
6.036169e+03 6.550423e-16 1.000000e-20
6.037422e+03 6.497246e-16 1.000000e-20
6.038674e+03 6.584873e-16 1.000000e-20
6.039926e+03 6.528370e-16 1.000000e-20
6.041179e+03 6.604847e-16 1.000000e-20
6.042431e+03 6.756442e-16 1.000000e-20
6.043683e+03 6.512557e-16 1.000000e-20
6.044936e+03 6.653131e-16 1.000000e-20
6.046188e+03 6.659448e-16 1.000000e-20
