Filename,SN Name,z,6150A Vel,6150A V_Err,6150A pEW,6150A pEW_Err,5800A Vel,5800A V_Err,5800A pEW,5800A pEW_Err
SN1999dq.json,SN1999dq,0.01433,10.893787469438147,0.09205361743962627,23.516499047212648,1.1758249523606323,,,,
PS1-14xw.json,PS1-14xw,0.02448,12.779208630269807,0.1344366268423118,72.77745772549349,3.6388728862746746,,,,
SN2005de.json,SN2005de,0.015184,12.008627887842417,0.12596479916100775,99.36984196844554,4.968492098422278,10.286106966428196,0.13331226601067384,15.353621001634302,0.7676810500817152
SN2006br.json,SN2006br,0.02459,,,,,,,,
SN1999gp.json,SN1999gp,0.02675,11.241758503717367,0.0910380452865753,43.48953141373599,2.1744765706867994,7.702196272476836,0.09579622070895388,0.700278248218895,0.03501391241094475
SN2005eq.json,SN2005eq,0.028351,9.049076330361382,0.0927795865908209,26.119210732860548,1.3059605366430276,,,,
SN2009aa.json,SN2009aa,0.02731,18.282088565805385,0.13551395375235728,69.82708500404246,3.4913542502021233,,,,
SN2008cf.json,SN2008cf,0.046029,,,,,,,,
SN2008ec.json,SN2008ec,0.016317,10.507295106977958,0.17985229531779295,113.0784743399261,5.653923716996306,9.339745102890863,0.19066401192070043,23.122163462095507,1.1561081731047753
SN2012fr.json,SN2012fr,0.0054,,,,,5.082175089135352,0.15345737791710848,81.11296289091695,4.055648144545848
SN2007bc.json,SN2007bc,0.02077,10.366851698411393,0.09410004515032502,96.2192732013543,4.810963660067715,10.031623999861505,0.10001625707037913,33.34187308211963,1.6670936541059818
SN2004dt.json,SN2004dt,0.01973,,,,,4.799116445372152,0.1362503604001702,74.6349264616019,3.7317463230800954
SN2012ij.json,SN2012ij,0.010998,10.129222919931834,0.17002295557779304,116.3507148829184,5.81753574414592,9.784006768579268,0.1807066112055447,55.47170443969422,2.7735852219847112
SN2008gp.json,SN2008gp,0.032824,,,,,,,,
SN2004at.json,SN2004at,0.023131,12.194147511462177,0.09162841268584297,76.83402643507137,3.8417013217535683,11.082577109446104,0.09715754771657248,11.25849602782525,0.5629248013912626
SN2000fa.json,SN2000fa,0.02127,15.246789226684255,0.08730297064898894,105.72133242475589,5.2860666212377945,,,,
SN2007ba.json,SN2007ba,0.038513,,,,,,,,
SN2013gy.json,SN2013gy,0.014023,13.844986458219246,0.10214816508302944,106.71136448843133,5.335568224421567,11.990829437290882,0.10807004347045253,17.875286320201663,0.8937643160100832
SN2006hb.json,SN2006hb,0.015337,14.652693746855261,0.13033663509069388,121.7402007059627,6.087010035298135,14.51609133002826,0.13861854014582473,35.6020958942241,1.780104794711205
