# wavelength flux error
7.243636e+03 1.087214e-15 1.732051e-20
7.247802e+03 1.363898e-15 2.000000e-20
7.251969e+03 1.008566e-15 1.732051e-20
7.256135e+03 1.048786e-15 1.732051e-20
7.260302e+03 1.335999e-15 2.000000e-20
7.264468e+03 1.047505e-15 1.732051e-20
7.268635e+03 1.027195e-15 1.732051e-20
7.272801e+03 1.311432e-15 2.000000e-20
7.276967e+03 1.061201e-15 1.732051e-20
7.281134e+03 1.046196e-15 1.732051e-20
7.285300e+03 1.403276e-15 2.000000e-20
7.289467e+03 1.040307e-15 1.732051e-20
7.293633e+03 1.041064e-15 1.732051e-20
7.297799e+03 1.321466e-15 2.000000e-20
7.301966e+03 9.750580e-16 1.732051e-20
7.306132e+03 9.859913e-16 1.732051e-20
7.310299e+03 1.338433e-15 2.000000e-20
7.314465e+03 9.808693e-16 1.732051e-20
7.318631e+03 9.908120e-16 1.732051e-20
7.322798e+03 1.320917e-15 2.000000e-20
7.326964e+03 9.959897e-16 1.732051e-20
7.331131e+03 9.618298e-16 1.732051e-20
7.335297e+03 1.300110e-15 2.000000e-20
7.339463e+03 1.002906e-15 1.732051e-20
7.343630e+03 9.794100e-16 1.732051e-20
7.347796e+03 1.303975e-15 2.000000e-20
7.351963e+03 9.577821e-16 1.732051e-20
7.356129e+03 9.868215e-16 1.732051e-20
7.360296e+03 1.324768e-15 2.000000e-20
7.364462e+03 9.472024e-16 1.732051e-20
7.368628e+03 9.501731e-16 1.732051e-20
7.372795e+03 9.441111e-16 1.732051e-20
7.376961e+03 1.292056e-15 2.000000e-20
7.381128e+03 9.714640e-16 1.732051e-20
7.385294e+03 9.950758e-16 1.732051e-20
7.389460e+03 1.288247e-15 2.000000e-20
7.393627e+03 1.001171e-15 1.732051e-20
7.397793e+03 9.698222e-16 1.732051e-20
7.401960e+03 1.272212e-15 2.000000e-20
7.406126e+03 9.768069e-16 1.732051e-20
7.410292e+03 9.934280e-16 1.732051e-20
7.414459e+03 1.273203e-15 2.000000e-20
7.418625e+03 9.555417e-16 1.732051e-20
7.422792e+03 9.676066e-16 1.732051e-20
7.426958e+03 1.281006e-15 2.000000e-20
7.431124e+03 9.805503e-16 1.732051e-20
7.435291e+03 9.551097e-16 1.732051e-20
7.439457e+03 1.298591e-15 2.000000e-20
7.443624e+03 9.582880e-16 1.732051e-20
7.447790e+03 9.519299e-16 1.732051e-20
7.451957e+03 1.246824e-15 2.000000e-20
7.456123e+03 9.428084e-16 1.732051e-20
7.460289e+03 9.434790e-16 1.732051e-20
7.464456e+03 1.264968e-15 2.000000e-20
7.468622e+03 9.688995e-16 1.732051e-20
7.472789e+03 9.684686e-16 1.732051e-20
7.476955e+03 1.294684e-15 2.000000e-20
7.481121e+03 9.550951e-16 1.732051e-20
7.485288e+03 9.838800e-16 1.732051e-20
7.489454e+03 1.256884e-15 2.000000e-20
7.493621e+03 9.423887e-16 1.732051e-20
7.497787e+03 9.296002e-16 1.732051e-20
7.501953e+03 1.255572e-15 2.000000e-20
7.506120e+03 9.001370e-16 1.732051e-20
7.510286e+03 9.644087e-16 1.732051e-20
7.514453e+03 1.241713e-15 2.000000e-20
7.518619e+03 9.423923e-16 1.732051e-20
7.522785e+03 8.998448e-16 1.732051e-20
7.526952e+03 1.070682e-15 2.000000e-20
7.531118e+03 9.219491e-16 1.732051e-20
7.535285e+03 8.361890e-16 1.732051e-20
7.539451e+03 1.303782e-15 2.000000e-20
7.543618e+03 9.551968e-16 1.732051e-20
7.547784e+03 9.544364e-16 1.732051e-20
7.551950e+03 1.213013e-15 2.000000e-20
7.556117e+03 9.216372e-16 1.732051e-20
7.560283e+03 8.863980e-16 1.732051e-20
7.564450e+03 1.217254e-15 2.000000e-20
7.568616e+03 9.320391e-16 1.732051e-20
7.572782e+03 8.876978e-16 1.732051e-20
7.576949e+03 1.182042e-15 2.000000e-20
7.581115e+03 8.881229e-16 1.732051e-20
7.585282e+03 9.050386e-16 1.732051e-20
7.589448e+03 1.101831e-15 2.000000e-20
7.593614e+03 8.090717e-16 1.732051e-20
7.597781e+03 9.049829e-16 1.732051e-20
7.601947e+03 8.829218e-16 1.732051e-20
7.606114e+03 1.300045e-15 2.000000e-20
7.610280e+03 9.767471e-16 1.732051e-20
7.614446e+03 8.988091e-16 1.732051e-20
7.618613e+03 1.190808e-15 2.000000e-20
7.622779e+03 7.734885e-16 1.732051e-20
7.626946e+03 8.502383e-16 1.732051e-20
7.631112e+03 1.103035e-15 2.000000e-20
7.635279e+03 7.487518e-16 1.732051e-20
7.639445e+03 8.402098e-16 1.732051e-20
7.643611e+03 1.110318e-15 2.000000e-20
7.647778e+03 8.221283e-16 1.732051e-20
7.651944e+03 8.436886e-16 1.732051e-20
7.656111e+03 1.059902e-15 2.000000e-20
7.660277e+03 7.849909e-16 1.732051e-20
7.664443e+03 7.378121e-16 1.732051e-20
7.668610e+03 1.020660e-15 2.000000e-20
7.672776e+03 8.028574e-16 1.732051e-20
7.676943e+03 7.492042e-16 1.732051e-20
7.681109e+03 1.035596e-15 2.000000e-20
7.685275e+03 7.570229e-16 1.732051e-20
7.689442e+03 7.585454e-16 1.732051e-20
7.693608e+03 1.016138e-15 2.000000e-20
7.697775e+03 7.508516e-16 1.732051e-20
7.701941e+03 7.773792e-16 1.732051e-20
7.706107e+03 1.074370e-15 2.000000e-20
7.710274e+03 7.278163e-16 1.732051e-20
7.714440e+03 8.639511e-16 1.732051e-20
7.718607e+03 1.048018e-15 2.000000e-20
7.722773e+03 7.724297e-16 1.732051e-20
7.726940e+03 7.999289e-16 1.732051e-20
7.731106e+03 1.033786e-15 2.000000e-20
7.735272e+03 7.885076e-16 1.732051e-20
7.739439e+03 8.094953e-16 1.732051e-20
7.743605e+03 1.039044e-15 2.000000e-20
7.747772e+03 7.438327e-16 1.732051e-20
7.751938e+03 8.656940e-16 1.732051e-20
7.756104e+03 1.063910e-15 2.000000e-20
7.760271e+03 8.145337e-16 1.732051e-20
7.764437e+03 8.261630e-16 1.732051e-20
7.768604e+03 1.122346e-15 2.000000e-20
7.772770e+03 8.225601e-16 1.732051e-20
7.776936e+03 8.241812e-16 1.732051e-20
7.781103e+03 1.138349e-15 2.000000e-20
7.785269e+03 8.446427e-16 1.732051e-20
7.789436e+03 8.290697e-16 1.732051e-20
7.793602e+03 1.094145e-15 2.000000e-20
7.797768e+03 9.208645e-16 1.732051e-20
7.801935e+03 8.669579e-16 1.732051e-20
7.806101e+03 1.119473e-15 2.000000e-20
7.810268e+03 8.617477e-16 1.732051e-20
7.814434e+03 8.543921e-16 1.732051e-20
7.818601e+03 8.483211e-16 1.732051e-20
