supernova_name,spextractor_pEW,spextractor_pEW_err,paper_pEW,paper_pEW_err,spextractor_vel,spextractor_vel_err,paper_vel,paper_vel_err
SN2013fy,69.4,4.6,93.4,3.1,13.1,0.7,10.8,0.3
LSQ12fxd,71.9,4.0,N/A,N/A,12.6,1.0,N/A,N/A
SN2007S,N/A,N/A,58.7,5.4,N/A,N/A,10.1,0.2
SN2007bm,111.2,8.1,101.8,2.7,12.7,0.4,10.6,0.2
SN2006ex,98.4,15.4,N/A,N/A,13.0,0.5,N/A,N/A
SN2005hc,0.1,5.0,101.5,16.5,7.4,0.5,10.3,0.6
SN2008R,126.1,3.0,126.7,1.9,10.6,0.3,10.7,0.2
SN2003W,N/A,N/A,108.2,3.5,N/A,N/A,15.2,0.5
SN2009cz,66.2,2.3,75.6,4.2,9.7,0.6,10.1,0.3
SN2007ci,122.7,8.5,126.4,2.8,12.7,0.7,12.3,0.4
SN2006gr,58.9,18.6,65.0,4.2,19.7,1.2,11.3,0.4
ASASSN-14hu,N/A,N/A,86.7,2.8,N/A,N/A,12.5,0.2
SN2002fk,65.5,2.3,80.7,2.2,10.0,0.3,9.8,0.3
SN2012aq,101.4,7.7,105.5,3.5,10.8,0.8,11.2,0.4
SN2009Y,N/A,N/A,155.6,4.7,N/A,N/A,14.4,0.2
SN1998dm,75.3,5.6,73.2,2.2,11.5,0.3,11.0,0.2
